t,X,Y
1,40.67164179,11.31840796
2,45.64676617,12.1579602
3,50.62189055,12.01803483
4,56.34328358,12.62437811
5,60.19900498,13.60385572
6,67.41293532,14.30348259
7,72.13930348,15.32960199
8,75.62189055,16.49564677
9,77.11442786,18.82773632
10,75.24875622,22.93221393
11,71.89054726,24.28482587
12,66.41791045,26.38370647
13,60.69651741,27.12997512
14,54.85074627,27.92288557
15,48.38308458,28.34266169
16,41.79104478,28.66915423
17,35.69651741,28.66915423
18,30.34825871,27.92288557
19,23.38308458,26.710199
20,15.7960199,23.35199005
21,14.55223881,18.59452736
22,16.66666667,15.56281095
23,22.63681592,12.76430348
24,30.84577114,11.83146766
25,41.04477612,11.45833333
26,48.6318408,11.59825871
27,55.72139303,12.25124378
28,62.56218905,13.1840796
29,71.39303483,14.95646766
30,76.86567164,18.08146766
31,74.50248756,23.30534826
32,67.41293532,26.1971393
33,59.32835821,27.50310945
34,50.24875622,28.20273632
35,40.7960199,28.66915423
36,30.84577114,27.92288557
37,22.76119403,26.43034826
38,16.29353234,23.6318408
39,14.30348259,18.59452736
40,17.1641791,14.95646766
41,25,13.13743781
42,32.8358209,12.1579602
43,40.04975124,11.31840796
